ID,ND1,ND2,ND3,ND4,ND5,HFD1,HFD2,HFD3,HFD4,HFD5
14143,0.01443451,0.005267988,0.008400113,0.003786165,0.003849109,0.016163564,0.019295512,0.01690088,0.017054597,0.017191518
14470,0.024547657,0.025762113,0.024557353,0.011080425,0.027935476,0.047676375,0.038611405,0.040968132,0.036596318,0.030540913
15634,5.85E-06,3.07E-05,3.65E-05,3.05E-05,6.23E-05,3.00E-06,5.99E-06,5.37E-06,1.08E-05,6.04E-06
15782,4.30E-05,0.000124455,0.000368807,0.00021699,0.000161375,4.01E-05,9.92E-06,3.57E-05,1.86E-05,1.75E-05
19477,8.05E-05,7.76E-05,6.96E-05,5.39E-05,9.58E-05,5.59E-05,6.21E-05,4.53E-05,3.66E-05,4.43E-05
19588,3.65E-05,2.74E-05,2.29E-05,1.52E-05,2.43E-05,3.29E-05,3.80E-05,3.32E-05,4.29E-05,3.02E-05
19919,1.16E-05,1.72E-05,1.72E-05,1.09E-05,7.88E-06,6.99E-06,6.03E-06,5.70E-06,8.57E-06,9.57E-06
20738,2.89E-06,2.04E-05,3.85E-05,1.71E-05,2.40E-05,2.85E-06,5.94E-06,3.98E-06,2.84E-06,4.48E-06
21614,5.81E-06,6.46E-06,1.12E-05,7.12E-06,1.00E-05,2.41E-06,3.24E-06,2.21E-06,2.35E-06,1.81E-06
22572,2.68E-06,9.04E-06,8.62E-06,2.34E-05,2.14E-05,9.35E-07,7.53E-07,1.02E-06,1.16E-06,1.16E-06
24000,0.000186391,0.000166027,0.000254952,0.000143686,0.000162409,4.46E-06,1.09E-05,5.46E-05,6.23E-06,5.60E-06
